
#$Filter:op09
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	op09
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:61.2, mW
#$WAVELENGTH:532,nm
#$OBJECT:635, on wires	=	=	=	=
angle	ref	signal	signal_std	filter	Time
46.0	0.15625	0.377755376344	0.0558036529821	0	1510218973.5124245
46.0	0.1546875	0.399132665196	0.0202809174851	0	1510218974.014364
46.5	0.15625	0.250848454301	0.10690872593	0	1510218974.7739637
46.5	0.15625	0.322470652174	0.0391475326852	0	1510218975.5647058
46.5	0.15625	0.301285282258	0.0765165902105	0	1510218976.0189457
47.0	0.159375	0.31630692138	0.0508697609601	0	1510218976.7785258
47.0	0.1609375	0.205872588531	0.113247553721	0	1510218977.5687985
47.0	0.1609375	0.291310176621	0.0388388321453	0	1510218978.0147188
46.5	0.171875	0.291108343574	0.0346848980193	0	1510218978.7777717
46.5	0.1546875	0.307997311828	0.044558453506	0	1510218979.544631
46.5	0.159375	0.30031922043	0.0337833822352	0	1510218980.014558
47.0	0.15625	0.296115689866	0.0475307228689	0	1510218980.7694607
46.5	0.1625	0.310954301075	0.0370588001545	0	1510218981.5298054
46.5	0.1609375	0.307473198497	0.0369107839154	0	1510218982.0100307
46.5	0.1546875	0.303220108696	0.0377221606315	0	1510218982.776077
47.0	0.1578125	0.291832065217	0.033187166916	0	1510218983.5450428
47.0	0.15625	0.274628028441	0.0311471369183	0	1510218984.0138237
47.0	0.1546875	0.282301450579	0.0383254902847	0	1510218984.777722
47.5	0.1609375	0.274824986833	0.0337790023587	0	1510218985.5481935
47.5	0.1609375	0.290422555302	0.0326033337296	0	1510218986.0175157
48.0	0.1578125	0.262936827957	0.0777857633628	0	1510218986.7744114
48.0	0.1609375	0.25205085007	0.0646083174967	0	1510218987.5641625
48.0	0.1609375	0.251485696353	0.0291075147571	0	1510218988.010071
48.0	0.1609375	0.2750699216	0.0368195819696	0	1510218988.7740989
48.5	0.1609375	0.28899701087	0.0275117207835	0	1510218989.5329032
48.5	0.15625	0.294615255376	0.0398534821352	0	1510218990.0135198
49.0	0.15625	0.248711266678	0.0344620609359	0	1510218990.777824
49.0	0.153125	0.242957777388	0.0280717989511	0	1510218991.5598717
49.0	0.15625	0.241283423913	0.0316937968139	0	1510218992.016717
49.5	0.15625	0.2447432041	0.0384831123367	0	1510218992.7825089
50.0	0.1609375	0.241562226597	0.0335482797714	0	1510218993.5653915
50.0	0.1546875	0.242939359143	0.0253977094224	0	1510218994.0183287
50.0	0.15625	0.24577991453	0.0543629015636	0	1510218994.786312
50.0	0.15625	0.170114087302	0.104920723745	0	1510218995.5466363
50.5	0.15625	0.249753891941	0.0317833887117	0	1510218996.0140197
50.5	0.15625	0.228301345144	0.0242251895561	0	1510218996.8058732
51.0	0.15625	0.157834051724	0.0980665022697	0	1510218997.5638413
51.0	0.15625	0.223389975685	0.0244961257253	0	1510218998.0166812
51.0	0.15625	0.222671337342	0.0276129185565	0	1510218998.7826636
51.5	0.15625	0.244654966204	0.0299051370573	0	1510218999.5355444
51.5	0.1578125	0.258592796093	0.0298963003523	0	1510219000.0213943
52.0	0.1578125	0.246384524228	0.0336310424905	0	1510219000.7782848
52.0	0.15625	0.262034493284	0.0293416770027	0	1510219001.5698798
52.0	0.1546875	0.236609050672	0.0245847943723	0	1510219002.0157099
52.0	0.1609375	0.235662218111	0.0231656061014	0	1510219002.7830865
52.5	0.1546875	0.228872863248	0.0313372769885	0	1510219003.5480924
53.0	0.1546875	0.232413877953	0.0344948982238	0	1510219004.0148158
53.0	0.159375	0.212622100122	0.0317954451231	0	1510219004.7966537
53.0	0.1546875	0.101972875702	0.0134318199924	0	1510219005.6256392
53.0	0.1625	0.225904163363	0.0400492894115	0	1510219006.0344822
53.5	0.1546875	0.218628192204	0.0264376757788	0	1510219006.7914064
54.0	0.159375	0.221180785809	0.0250671042527	0	1510219007.5793338
54.0	0.1578125	0.223676915323	0.0264556604746	0	1510219008.0151746
54.0	0.1609375	0.191532028565	0.0691985599026	0	1510219008.780071
54.5	0.15625	0.214337225275	0.016301616246	0	1510219009.5499556
54.5	0.15625	0.206851915446	0.0277996598879	0	1510219010.0177732
54.5	0.1578125	0.214768145161	0.0297855914333	0	1510219010.7868748
55.0	0.159375	0.238597794435	0.0260722903966	0	1510219011.5532277
55.0	0.159375	0.222187582295	0.0302954659432	0	1510219012.0106723
55.0	0.15625	0.209038850612	0.0318034564218	0	1510219012.7781546
55.5	0.15625	0.158619204261	0.0743389217622	0	1510219013.545476
55.5	0.15625	0.193724545739	0.0268723538864	0	1510219014.013967
56.0	0.15625	0.215591613248	0.0272426422327	0	1510219014.7791674
56.0	0.15625	0.208308531746	0.0218737735135	0	1510219015.5631418
56.0	0.15625	0.21189052277	0.0243578726214	0	1510219016.0180633
56.5	0.1546875	0.209837644994	0.0222368961487	0	1510219016.7826025
56.5	0.15625	0.236395650396	0.0314252727671	0	1510219017.5667233
56.0	0.15625	0.21061827957	0.0264205335716	0	1510219018.0206625
56.0	0.15625	0.20520266415	0.0212839266617	0	1510219018.7866452
56.0	0.15625	0.167326930277	0.0497885496866	0	1510219019.5443192
56.0	0.15625	0.195879993613	0.0297159411309	0	1510219020.012925
56.5	0.1546875	0.189810531496	0.0234812092427	0	1510219020.781954
56.5	0.15625	0.197016087182	0.0227196201788	0	1510219021.55011
56.0	0.15625	0.196855570652	0.0254532227851	0	1510219022.0150414
56.0	0.1578125	0.183252679353	0.0142002852057	0	1510219022.7859383
56.5	0.15625	0.191087587571	0.0250427847045	0	1510219023.548824
56.5	0.1546875	0.197005676468	0.0227178120215	0	1510219024.0196688
56.5	0.1546875	0.181735819328	0.0394104401974	0	1510219024.7906237
56.5	0.153125	0.184977348054	0.0148693911737	0	1510219025.569434
56.5	0.153125	0.180120900052	0.0169638210606	0	1510219026.014548
56.5	0.15625	0.143328392094	0.0549046114404	0	1510219026.781338
56.5	0.153125	0.168868505725	0.0172837692059	0	1510219027.5490894
56.5	0.153125	0.17965192176	0.00629329269282	0	1510219028.0160675
56.5	0.1578125	0.0929784640606	0.0964037722046	0	1510219028.7861366
56.5	0.1546875	0.189767198703	0.0153321492682	0	1510219029.5519094
56.5	0.1546875	0.195312766729	0.0274478123773	0	1510219030.010841
56.5	0.1546875	0.181900975064	0.0294278807524	0	1510219030.7707028
56.5	0.1546875	0.0704149546311	0.0849383899436	0	1510219031.5333328
56.5	0.1546875	0.172579609656	0.0181639303974	0	1510219032.0141957

#$Filter:1
